atomic_number,mass,abundance,mass_number,mass_uncertainty,is_radioactive,half_life,half_life_unit,spin,g_factor,quadrupole_moment,parity,discovery_year,g_factor_uncertainty,abundance_uncertainty,half_life_uncertainty,quadrupole_moment_uncertainty
"1",1.007825031898,99.9855,"1",1.4e-11,"0",,,1/2,5.58569478988647,0,"+","1920",1.79999997129698e-08,0.0078,,0
"1",2.014101777844,0.0145,"2",1.5e-11,"0",,,"1",0.857438206672668,0.00285780010744929,"+","1932",4.99999996961265e-09,0.0078,,3.00000010611257e-07
"1",3.01604928132,,"3",8e-11,"1",12.32,year,1/2,5.95792484283447,0,"+","1934",2.79999987640167e-08,,0.02,0
"2",3.01602932197,0.0002,"3",6e-11,"0",,,1/2,-4.25525045394897,0,"+","1934",5.99999978589949e-08,0.0002,,0
"3",3.030775,,"3",0.002147,"1",,,3/2,,,"-",,,,,
"1",4.026431867,,"4",0.000107354,"1",139,ysec,"2",,,"-","1981",,,10,
"2",4.00260325413,99.9998,"4",1.6e-10,"0",,,"0",0,0,"+","1908",0,0.0002,,0
"3",4.027185561,,"4",0.000227733,"1",91,ysec,"2",,,"-","1965",,,9,
"1",5.035311492,,"5",9.602e-05,"1",86,ysec,1/2,,0,"+","1987",,,6,0
"2",5.012057224,,"5",2.147e-05,"1",602,ysec,3/2,,,"-","1937",,,22,
"3",5.0125378,,"5",5.3677e-05,"1",370,ysec,3/2,,,"-","1941",,,30,
"4",5.03987,,"5",0.00215,"1",,,1/2,,0,"+",,,,,0
"1",6.044955437,,"6",0.000272816,"1",294,ysec,"2",,,"-","1984",,,67,
"2",6.018885889,,"6",5.7e-08,"1",806.92,msec,"0",0,0,"+","1936",0,,0.24,0
"3",6.01512288742,4.85,"6",1.55e-09,"0",,,"1",0.822043001651764,-0.00080600002547726,"+","1921",3.00000010611257e-06,1.71,,6.00000021222513e-06
"4",6.019726409,,"6",5.848e-06,"1",5,zsec,"0",0,0,"+","1958",0,,0.3,0
"5",6.0508,,"6",0.00215,"1",,,"2",,,"-",,,,,
"1",7.052749,,"7",0.001078,"1",652,ysec,1/2,,0,"+","2003",,,558,0
"2",7.027990652,,"7",8.115e-06,"1",2.51,zsec,3/2,,,,"1967",,,0.07,
"3",7.01600343426,95.15,"7",4.5e-09,"0",,,3/2,2.17093801498413,-0.0399999991059303,"-","1921",7.99999997980194e-06,1.71,,0.000299999985145405
"4",7.016928714,,"7",7.6e-08,"1",53.22,day,3/2,-0.932853281497955,,"-","1938",2.66666665993398e-06,,0.06,
"5",7.029712,,"7",2.7e-05,"1",570,ysec,3/2,,,"-","1967",,,14,
"2",8.033934388,,"8",9.5e-08,"1",119.5,msec,"0",0,0,"+","1965",0,,1.5,0
"3",8.022486244,,"8",5e-08,"1",838.7,msec,"2",0.826749980449677,0.0313999988138676,"+","1935",9.99999974737875e-06,,0.3,0.000199999994947575
"4",8.005305102,,"8",3.7e-08,"1",81.9,asec,"0",0,0,"+","1932",0,,3.7,0
"5",8.024607315,,"8",1.073e-06,"1",771.9,msec,"2",0.517750024795532,0.064300000667572,"+","1950",0.000149999992572702,,0.9,0.00139999995008111
"6",8.037643039,,"8",1.9584e-05,"1",3.5,zsec,"0",0,0,"+","1974",0,,1.4,0
"2",9.043946414,,"9",5.0259e-05,"1",2.5,zsec,1/2,,0,,"1987",,,2.3,0
"3",9.026790191,,"9",2e-07,"1",178.2,msec,3/2,2.29110670089722,-0.0304000005125999,"-","1951",3.9999998989515e-05,,0.4,0.000199999994947575
"4",9.012183062,100,"9",8.2e-08,"0",,,3/2,-0.784953355789185,0.0529000014066696,"-","1921",3.33333332491748e-06,0,,0.00039999998989515
"5",9.013329645,,"9",9.69e-07,"1",800,zsec,3/2,,,"-","1940",,,300,
"6",9.031037202,,"9",2.293e-06,"1",126.5,msec,3/2,0.927599966526031,,"-","1964",0.000333333300659433,,0.9,
"2",10.052815306,,"10",9.9676e-05,"1",260,ysec,"0",0,0,"+","1994",0,,40,0
"3",10.035483453,,"10",1.3656e-05,"1",2,zsec,"1",,,"-","1975",,,0.5,
"4",10.013534692,,"10",8.6e-08,"1",1.387,Myear,"0",0,0,"+","1935",0,,0.012,0
"5",10.012936862,19.65,"10",1.6e-08,"0",,,"3",0.600154519081116,0.0846000015735626,"+","1920",2.66666660309056e-07,0.44,,0.000199999994947575
"6",10.016853217,,"10",7.5e-08,"1",19.3011,sec,"0",0,0,"+","1949",0,,0.0015,0
"7",10.04165354,,"10",0.000429417,"1",143,ysec,"1",,,"-","2002",,,36,
"3",11.043723581,,"11",6.6e-07,"1",8.75,msec,3/2,2.44739985466003,0.0333000011742115,"-","1966",0.000133333334815688,,0.06,0.000499999965541065
"4",11.02166108,,"11",2.55e-07,"1",13.76,sec,1/2,-3.36319994926453,0,"+","1958",0.0015999999595806,,0.07,0
"5",11.009305166,80.35,"11",1.3e-08,"0",,,3/2,1.79225206375122,0.0405899994075298,"-","1920",6.66666664983495e-07,0.44,,9.99999974737875e-05
"6",11.011432597,,"11",6.4e-08,"1",20.3402,minute,3/2,-0.642666637897491,0.0333000011742115,"-","1934",0.000666666717734188,,0.0053,0.000199999994947575
"7",11.026157593,,"11",5.368e-06,"1",585,ysec,1/2,,0,"+","1974",,,7,0
"8",11.051249828,,"11",6.4453e-05,"1",198,ysec,3/2,,,"-","2019",,,12,
"3",12.052613942,,"12",3.2213e-05,"0",,,"1",,,"-","2008",,,,
"4",12.026922082,,"12",2.048e-06,"1",21.46,msec,"0",0,0,"+","1966",0,,0.05,0
"5",12.014352638,,"12",1.418e-06,"1",20.2,msec,"1",1.00300002098083,0.0131999999284744,"+","1935",0.00100000004749745,,0.02,0.000299999985145405
"6",12,98.94,"12",0,"0",,,"0",0,0,"+","1919",0,0.06,,0
"7",12.01861318,,"12",1.073e-06,"1",11,msec,"1",0.457100003957748,0.00999999977648258,"+","1949",9.99999974737875e-05,,0.016,0.000899999984540045
"8",12.034367726,,"12",1.2882e-05,"1",8.9,zsec,"0",0,0,"+","1978",0,,3.3,0
"3",13.061171503,,"13",7.515e-05,"1",3.3,zsec,3/2,,,"-","2008",,,1.2,
"4",13.036134506,,"13",1.0929e-05,"1",1,zsec,1/2,,0,"-","1983",,,0.7,0
"5",13.017779981,,"13",1.073e-06,"1",17.16,msec,3/2,2.11853337287903,0.0364999994635582,"-","1956",0.000333333300659433,,0.18,0.0007999999797903
"6",13.00335483534,1.06,"13",2.5e-10,"0",,,1/2,1.40473794937134,0,"-","1929",7.99999997980194e-06,0.06,,0
"7",13.005738609,,"13",2.89e-07,"1",9.965,minute,1/2,0.643800020217896,0,"-","1934",0.0007999999797903,,0.004,0
"8",13.024815435,,"13",1.0226e-05,"1",8.58,msec,3/2,0.926133334636688,0.0110999997705221,"-","1963",0.000199999994947575,,0.05,0.0007999999797903
"9",13.045121,,"13",0.000537,"0",,,1/2,,0,"+",,,,,0
"4",14.04289292,,"14",0.00014197,"1",4.53,msec,"0",0,0,"+","1973",0,,0.27,0
"5",14.02540401,,"14",2.2773e-05,"1",12.36,msec,"2",0.592499971389771,0.0296999998390675,"-","1966",0.00250000017695129,,0.29,0.0007999999797903
"6",14.00324198862,,"14",4.03e-09,"1",5.7,kyear,"0",0,0,"+","1936",0,,0.03,0
"7",14.00307400425,99.6205,"14",2.4e-10,"0",,,"1",0.403573006391525,0.0204399991780519,"+","1920",1.99999999495049e-06,0.0247,,2.99999992421363e-05
"8",14.008596706,,"14",2.7e-08,"1",70.621,sec,"0",0,0,"+","1949",0,,0.011,0
"9",14.034315196,,"14",4.4142e-05,"1",500,ysec,"2",,,"-","2010",,,60,
"4",15.053490215,,"15",0.00017799,"1",790,ysec,5/2,,,"+","2013",,,270,
"5",15.031087023,,"15",2.2575e-05,"1",10.18,msec,3/2,1.77266657352448,0.0379000008106232,"-","1966",0.0100000007078052,,0.35,0.00109999999403954
"6",15.010599256,,"15",8.58e-07,"1",2.449,sec,1/2,3.44000005722046,0,"+","1950",0.0180000010877848,,0.005,0
"7",15.00010889827,0.3795,"15",6.2e-10,"0",,,1/2,-0.566113829612732,0,"-","1929",2.79999994745594e-06,0.0247,,0
"8",15.003065636,,"15",5.26e-07,"1",122.266,sec,1/2,1.43815994262695,0,"-","1934",0.00023999999393709,,0.043,0
"9",15.017785139,,"15",1.5029e-05,"1",1.1,zsec,1/2,,0,"+","1978",,,0.3,0
"10",15.043172977,,"15",7.1588e-05,"1",770,ysec,3/2,,,"-","2014",,,300,
"4",16.061672036,,"16",0.00017799,"1",650,ysec,"0",0,0,"+","2012",0,,130,0
"5",16.039841045,,"16",2.6373e-05,"1",,zsec,"0",0,0,"-","2000",0,,,0
"6",16.014701255,,"16",3.84e-06,"1",750,msec,"0",0,0,"+","1961",0,,6,0
"7",16.006101925,,"16",2.47e-06,"1",7.13,sec,"2",0.992799997329712,0.0179999992251396,"-","1933",0.000549999997019768,,0.02,0.0020000000949949
"8",15.99491461926,99.757,"16",3.2e-10,"0",,,"0",0,0,"+","1919",0,0.011,,0
"9",16.011460278,,"16",5.758e-06,"1",21,zsec,"0",0,0,"-","1964",0,,5,0
"10",16.02575086,,"16",2.1986e-05,"1",,zsec,"0",0,0,"+","1977",0,,,0
"5",17.046931399,,"17",0.000219114,"1",5.08,msec,3/2,1.69999992847443,0.0384999997913837,"-","1973",0.0133333327248693,,0.05,0.00150000001303852
"6",17.02257865,,"17",1.8641e-05,"1",193,msec,3/2,0.505333364009857,,"+","1968",0.00266666687093675,,6,
"7",17.008448876,,"17",1.6103e-05,"1",4.173,sec,1/2,0.710399985313416,0,"-","1949",0.0007999999797903,,0.004,0
"8",16.99913175595,0.03835,"17",6.9e-10,"0",,,5/2,-0.75741720199585,-0.0255999993532896,"+","1925",3.99999998990097e-06,0.00096,,0.000199999994947575
"9",17.002095237,,"17",2.66e-07,"1",64.37,sec,5/2,1.88852000236511,0.0759999975562096,"+","1934",0.000119999996968545,,0.027,0.00400000018998981
"10",17.017713962,,"17",3.8e-07,"1",109.2,msec,1/2,1.57459998130798,0,"-","1963",0.00279999990016222,,0.6,0
"11",17.037273,,"17",6.4e-05,"0",,,1/2,,0,"+","2017",,,,0
"5",18.055601683,,"18",0.00021918,"0",,,"2",,,"-","2010",,,,
"6",18.02675193,,"18",3.2206e-05,"1",92,msec,"0",0,0,"+","1969",0,,2,0
"7",18.014077563,,"18",1.9935e-05,"1",619.2,msec,"1",0.327399998903275,0.0122999995946884,"-","1964",0.00039999998989515,,1.9,0.00119999994058162
"8",17.99915961214,0.2045,"18",6.9e-10,"0",,,"0",0,0,"+","1929",0,0.0102,,0
"9",18.000937324,,"18",4.97e-07,"1",109.734,minute,"1",,,"+","1937",,,0.008,
"10",18.005708696,,"18",3.9e-07,"1",1664.2,msec,"0",0,0,"+","1954",0,,0.47,0
"11",18.026879388,,"18",0.000100785,"1",1.3,zsec,"1",,,"-","2004",,,0.4,
"5",19.064166,,"19",0.000564,"1",2.92,msec,3/2,,,"-","1984",,,0.13,
"6",19.034797594,,"19",0.000105625,"1",46.2,msec,1/2,,0,"+","1974",,,2.3,0
"7",19.017022389,,"19",1.761e-05,"1",336,msec,1/2,0.610000014305115,0,"-","1968",0.0300000011920929,,3,0
"8",19.003577969,,"19",2.83e-06,"1",26.47,sec,5/2,0.612951993942261,0.00362000009045005,"+","1936",2.79999985650647e-05,,0.006,0.000130000000353903
"9",18.99840316207,100,"19",8.8e-10,"0",,,1/2,5.25664186477661,0,"+","1920",7.99999997980194e-06,0,,0
"10",19.001880906,,"19",1.71e-07,"1",17.2569,sec,1/2,-3.77029991149902,0,"+","1939",0.000139999989187345,,0.0019,0
"11",19.013880264,,"19",1.1309e-05,"1",,asec,5/2,,,"+","1969",,,,
"12",19.03417992,,"19",6.4413e-05,"1",5,psec,1/2,,0,"-","2007",,,3,0
"5",20.074505644,,"20",0.000586538,"1",,ysec,"1",,,"-","2018",,,,
"6",20.040261732,,"20",0.000247585,"1",16,msec,"0",0,0,"+","1981",0,,3,0
"7",20.023367295,,"20",8.4696e-05,"1",136,msec,"2",,,"-","1969",,,3,
"8",20.004075357,,"20",9.5e-07,"1",13.51,sec,"0",0,0,"+","1959",0,,0.05,0
"9",19.999981252,,"20",3.1e-08,"1",11.0062,sec,"2",1.04667496681213,0.0560000017285347,"+","1935",4.50000006821938e-05,,0.008,0.00400000018998981
"10",19.99244017525,90.48,"20",1.65e-09,"0",,,"0",0,0,"+","1913",0,0.03,,0
"11",20.007354301,,"20",1.19e-06,"1",447.9,msec,"2",0.18469999730587,0.101000003516674,"+","1950",9.99999974737875e-05,,2.3,0.00800000037997961
"12",20.018763075,,"20",2e-06,"1",90.4,msec,"0",0,0,"+","1974",0,,0.5,0
"5",21.084147485,,"21",0.00059975,"1",,ysec,3/2,,,"-","2018",,,,
"6",21.049,,"21",0.00064,"0",,,1/2,,0,"+",,,,,0
"7",21.027087573,,"21",0.000143906,"1",85,msec,1/2,,0,"-","1970",,,5,0
"8",21.008654948,,"21",1.2882e-05,"1",3.42,sec,5/2,,,"+","1968",,,0.1,
"9",20.999948893,,"21",1.932e-06,"1",4.158,sec,5/2,1.56775999069214,0.0109999999403954,"+","1955",0.00047999998787418,,0.02,0.0020000000949949
"10",20.993846685,0.27,"21",4.1e-08,"0",,,3/2,-0.441133350133896,0.101599998772144,"+","1928",1.99999994947575e-05,0.01,,0.0007999999797903
"11",20.997654459,,"21",4.5e-08,"1",22.455,sec,3/2,1.59073340892792,0.137999996542931,"+","1940",2.66666665993398e-05,,0.0054,0.0110000008717179
"12",21.011705764,,"21",8.1e-07,"1",120,msec,5/2,-0.393199980258942,,"+","1963",0.00280000013299286,,0.4,
"13",21.029082,,"21",0.000644,"0",,,5/2,,,"+",,,,,
"6",22.05755399,,"22",0.000248515,"1",6.2,msec,"0",0,0,"+","1986",0,,1.3,0
"7",22.034100918,,"22",0.00022306,"1",23,msec,"0",0,0,"-","1979",0,,3,0
"8",22.009965744,,"22",6.1107e-05,"1",2.25,sec,"0",0,0,"+","1969",0,,0.09,0
"9",22.002998812,,"22",1.331e-05,"1",4.23,sec,"4",0.673600018024445,0.00300000002607703,"+","1965",9.99999974737875e-05,,0.04,0.0020000000949949
"10",21.991385113,9.25,"22",1.8e-08,"0",,,"0",0,0,"+","1913",0,0.03,,0
"11",21.994437547,,"22",1.41e-07,"1",2.6019,year,"3",0.582000017166138,0.180000007152557,"+","1935",0.00100000004749745,,0.0006,0.0110000008717179
"12",21.999570597,,"22",1.7e-07,"1",3.8745,sec,"0",0,0,"+","1961",0,,0.0007,0
"13",22.01954,,"22",0.00043,"1",91.1,msec,"4",,,,"1982",,,0.5,
"14",22.036114,,"22",0.000537,"1",28.7,msec,"0",0,0,"+","1987",0,,1.1,0
"6",23.06889,,"23",0.00107,"0",,,3/2,,,"+",,,,,
"7",23.039421,,"23",0.0004515,"1",13.9,msec,1/2,,0,"-","1985",,,1.4,0
"8",23.015696686,,"23",0.000130663,"1",97,msec,1/2,,0,"+","1970",,,8,0
"9",23.003526875,,"23",3.577e-05,"1",2.23,sec,5/2,,,"+","1970",,,0.14,
"10",22.994466905,,"23",1.12e-07,"1",37.15,sec,5/2,-0.431759983301163,0.144999995827675,"+","1936",0.00039999996079132,,0.03,0.0130000002682209
"11",22.98976928195,100,"23",1.94e-09,"0",,,3/2,1.47833335399628,0.104000002145767,"+","1921",1.99999994947575e-05,0,,0.00100000004749745
"12",22.994123768,,"23",3.4e-08,"1",11.3039,sec,3/2,-0.35753333568573,0.114000000059605,"+","1939",0.000199999994947575,,0.0032,0.00300000002607703
"13",23.007244351,,"23",3.7e-07,"1",446,msec,5/2,1.55599999427795,,"+","1969",0.00799999944865704,,6,
"14",23.025711,,"23",0.000537,"1",42.3,msec,3/2,,,"+","1986",,,0.4,
"7",24.05039,,"24",0.00043,"0",,,,,,,,,,,
"8",24.019861,,"24",0.000177,"1",77.4,msec,"0",0,0,"+","1970",0,,4.5,0
"9",24.00809937,,"24",0.000104853,"1",384,msec,"3",,,"+","1970",,,16,
"10",23.993610649,,"24",5.5e-07,"1",3.38,minute,"0",0,0,"+","1956",0,,0.02,0
"11",23.990963012,,"24",1.7e-08,"1",14.956,hour,"4",0.422574996948242,,"+","1934",0.000199999994947575,,0.0015,
"12",23.985041689,78.965,"24",1.3e-08,"0",,,"0",0,0,"+","1920",0,0.049,,0
"13",23.999947598,,"24",2.44e-07,"1",2.053,sec,"4",,,"+","1953",,,0.004,
"14",24.01153543,,"24",2.0904e-05,"1",143.2,msec,"0",0,0,"+","1979",0,,2.1,0
"15",24.036522,,"24",0.000537,"0",,,"1",,,"+",,,,,
"7",25.0601,,"25",0.00054,"0",,,1/2,,0,"-",,,,,0
"8",25.029338919,,"25",0.000177225,"1",5.18,zsec,3/2,,,"+","2008",,,0.35,
"9",25.012167727,,"25",0.000103535,"1",80,msec,5/2,,,"+","1970",,,9,
"10",24.997814797,,"25",3.1181e-05,"1",602,msec,1/2,-2.01200008392334,0,"+","1970",0.000999999931082129,,8,0
"11",24.989953974,,"25",1.288e-06,"1",59.1,sec,5/2,1.47320008277893,0.00150000001303852,"+","1943",0.00160000007599592,,0.6,0.000299999985145405
"12",24.985836966,10.011,"25",5e-08,"0",,,5/2,-0.34213200211525,0.199000000953674,"+","1920",1.19999995149556e-05,0.013,,0.0020000000949949
"13",24.990428308,,"25",6.9e-08,"1",7.1666,sec,5/2,1.4578800201416,0.239999994635582,"+","1953",0.00047999998787418,,0.0023,0.0199999995529652
"14",25.004108798,,"25",1.0735e-05,"1",220.6,msec,5/2,,,"+","1963",,,1,
"15",25.021675,,"25",0.000429,"0",,,1/2,,0,"+",,,,,0
"8",26.037210155,,"26",0.000177081,"1",4.2,psec,"0",0,0,"+","2012",0,,3.3,0
"9",26.020048065,,"26",0.000114898,"1",8.2,msec,"1",,,"+","1979",,,0.9,
"10",26.000516496,,"26",1.9784e-05,"1",197,msec,"0",0,0,"+","1970",0,,2,0
"11",25.992634649,,"26",3.759e-06,"1",1071.28,msec,"3",0.9503333568573,-0.00529999984428287,"+","1958",0.000666666717734188,,0.25,0.000199999994947575
"12",25.982592972,11.025,"26",3.1e-08,"0",,,"0",0,0,"+","1920",0,0.038,,0
"13",25.986891876,,"26",7.1e-08,"1",717,kyear,"5",0.560599982738495,0.259999990463257,"+","1934",0.000800000037997961,,24,0.0299999993294477
