atomic_number,energy,f1,f2
"10",10,-9999,4.79576e-16
"10",10.1617,-9999,4.87333e-16
"10",10.3261,-9999,4.95215e-16
"10",10.4931,-9999,5.03225e-16
"10",10.6628,-9999,5.11364e-16
"10",10.8353,-9999,5.19635e-16
"10",11.0106,-9999,5.2804e-16
"10",11.1886,-9999,5.3658e-16
"10",11.3696,-9999,5.45259e-16
"10",11.5535,-9999,5.54078e-16
"10",11.7404,-9999,5.6304e-16
"10",11.9303,-9999,5.72147e-16
"10",12.1232,-9999,5.81401e-16
"10",12.3193,-9999,5.90805e-16
"10",12.5186,-9999,6.00361e-16
"10",12.721,-9999,6.10071e-16
"10",12.9268,-9999,6.19938e-16
"10",13.1359,-9999,6.29965e-16
"10",13.3483,-9999,6.40155e-16
"10",13.5642,-9999,6.50509e-16
"10",13.7836,-9999,6.6103e-16
"10",14.0066,-9999,6.71722e-16
"10",14.2331,-9999,6.82586e-16
"10",14.4633,-9999,6.93627e-16
"10",14.6973,-9999,7.04846e-16
"10",14.935,-9999,7.16246e-16
"10",15.1765,-9999,7.27831e-16
"10",15.422,-9999,7.39603e-16
"10",15.6714,-9999,7.51565e-16
"10",15.9249,-9999,7.63721e-16
"10",16.1825,-9999,7.76074e-16
"10",16.4442,-9999,7.88626e-16
"10",16.7102,-9999,8.01382e-16
"10",16.9805,-9999,8.14343e-16
"10",17.2551,-9999,8.27515e-16
"10",17.5342,-9999,8.40899e-16
"10",17.8178,-9999,8.545e-16
"10",18.106,-9999,8.68321e-16
"10",18.3989,-9999,8.82365e-16
"10",18.6964,-9999,8.96637e-16
"10",18.9988,-9999,9.11139e-16
"10",19.3061,-9999,9.25876e-16
"10",19.6184,-9999,9.40852e-16
"10",19.9357,-9999,9.56069e-16
"10",20.2582,-9999,9.71533e-16
"10",20.5858,-9999,9.87247e-16
"10",20.9188,-9999,1.00321e-15
"10",21.2571,-9999,1.01944e-15
"10",21.5,-9999,1.03109e-15
"10",21.7,-9999,1.79139
"10",21.9503,-9999,1.95643
"10",22.3053,-9999,2.21315
"10",22.6661,-9999,2.50079
"10",23.0327,-9999,2.64889
"10",23.4053,-9999,2.78606
"10",23.7838,-9999,2.90136
"10",24.1685,-9999,3.01168
"10",24.5594,-9999,3.10817
"10",24.9566,-9999,3.20074
"10",25.3603,-9999,3.28061
"10",25.7705,-9999,3.36247
"10",26.1873,-9999,3.44638
"10",26.6109,-9999,3.51648
"10",27.0413,-9999,3.57443
"10",27.4786,-9999,3.63332
"10",27.9231,-9999,3.69319
"10",28.3747,-9999,3.72541
"10",28.8337,-9999,3.75454
"10",29.3,-0.722786,3.7839
"10",29.7739,-0.638325,3.80667
"10",30.2555,-0.572576,3.80777
"10",30.7449,-0.547169,3.80887
"10",31.2421,-0.527238,3.86953
"10",31.7475,-0.488279,3.93403
"10",32.2609,-0.439885,4.00099
"10",32.7827,-0.385659,4.06909
"10",33.313,-0.32116,4.13833
"10",33.8518,-0.252235,4.19845
"10",34.3993,-0.186891,4.25469
"10",34.9557,-0.122622,4.3117
"10",35.5211,-0.0582012,4.36946
"10",36.0956,0.00674596,4.428
"10",36.6794,0.0716378,4.48853
"10",37.2727,0.139639,4.55288
"10",37.8755,0.212833,4.61816
"10",38.4882,0.291005,4.68437
"10",39.1107,0.377165,4.75153
"10",39.7432,0.479881,4.81744
"10",40.3861,0.583162,4.85348
"10",41.0393,0.675584,4.8898
"10",41.7031,0.785214,4.92638
"10",42.3776,0.886627,4.9233
"10",43.063,0.950661,4.91981
"10",43.7595,0.995369,4.92915
"10",44.4673,1.0426,4.96679
"10",45.1865,1.0986,5.00472
"10",45.9174,1.15509,5.04294
"10",46.66,1.21056,5.08375
"10",47.4147,1.2677,5.12979
"10",48.1816,1.3269,5.17624
"10",48.9609,1.38098,5.22312
"10",49.7528,1.43043,5.27991
"10",50.5576,1.49011,5.35683
"10",51.3753,1.56422,5.43488
"10",52.2062,1.6565,5.51407
"10",53.0506,1.75929,5.57909
"10",53.9087,1.85924,5.63469
"10",54.7806,1.9596,5.69085
"10",55.6667,2.06458,5.74756
"10",56.567,2.18172,5.80484
"10",57.482,2.30444,5.83933
"10",58.4117,2.41966,5.86771
"10",59.3564,2.53134,5.89623
"10",60.3165,2.65269,5.92489
"10",61.2921,2.7661,5.91786
"10",62.2834,2.84275,5.90994
"10",63.2908,2.9141,5.95107
"10",64.3145,3.00481,5.9925
"10",65.3547,3.10324,6.03421
"10",66.4118,3.2081,6.07621
"10",67.4859,3.3197,6.11849
"10",68.5775,3.43868,6.16108
"10",69.6867,3.58,6.20396
"10",70.8138,3.73593,6.22061
"10",71.9591,3.87602,6.20429
"10",73.123,3.99693,6.18801
"10",74.3057,4.10545,6.17671
"10",75.5076,4.2123,6.17497
"10",76.7289,4.32332,6.17323
"10",77.9699,4.43449,6.17149
"10",79.231,4.54643,6.16951
"10",80.5125,4.6593,6.16729
"10",81.8147,4.77363,6.16507
"10",83.138,4.89047,6.16286
"10",84.4827,5.0115,6.16065
"10",85.8491,5.14335,6.15843
"10",87.2377,5.27923,6.1319
"10",88.6487,5.40393,6.09959
"10",90.0825,5.52126,6.06745
"10",91.5395,5.63579,6.03548
"10",93.0201,5.74841,6.00367
"10",94.5246,5.86002,5.97204
"10",96.0535,5.96754,5.94057
"10",97.6071,6.07102,5.9164
"10",99.1858,6.21026,5.91586
"10",100.79,6.36239,5.86022
"10",102.42,6.49005,5.80511
"10",104.077,6.62335,5.74533
"10",105.76,6.74851,5.66045
"10",107.471,6.85669,5.57681
"10",109.209,6.95637,5.49442
"10",110.975,7.0499,5.41324
"10",112.77,7.1387,5.33326
"10",114.594,7.22406,5.25446
"10",116.448,7.30822,5.17522
"10",118.331,7.388,5.09217
"10",120.245,7.46106,5.01045
"10",122.19,7.53053,4.93005
"10",124.166,7.59679,4.85093
"10",126.175,7.66034,4.77309
"10",128.215,7.72164,4.69648
"10",130.289,7.78103,4.62112
"10",132.397,7.84246,4.54697
"10",134.538,7.90168,4.46606
"10",136.714,7.95319,4.3862
"10",138.925,8.00152,4.30777
"10",141.172,8.04685,4.23074
"10",143.456,8.08951,4.15509
"10",145.776,8.12971,4.08079
"10",148.134,8.16754,4.00782
"10",150.53,8.20301,3.93615
"10",152.964,8.23612,3.86577
"10",155.439,8.2633,3.79664
"10",157.953,8.28781,3.73619
"10",160.507,8.31714,3.68212
"10",163.103,8.35015,3.62882
"10",165.742,8.38588,3.5763
"10",168.422,8.42488,3.52453
"10",171.146,8.46918,3.47352
"10",173.915,8.52709,3.42324
"10",176.727,8.60566,3.33971
"10",179.586,8.63273,3.18737
"10",182.491,8.60965,3.12893
"10",185.442,8.61713,3.06989
"10",188.442,8.62845,3.01163
"10",191.489,8.64103,2.95426
"10",194.587,8.65396,2.89868
"10",197.734,8.66744,2.84434
"10",200.932,8.68132,2.79115
"10",204.182,8.69565,2.73904
"10",207.485,8.71077,2.68788
"10",210.84,8.72822,2.63765
"10",214.251,8.74635,2.58158
"10",217.716,8.76064,2.5253
"10",221.237,8.77223,2.46916
"10",224.816,8.78174,2.4143
"10",228.452,8.78979,2.36065
"10",232.147,8.79661,2.30819
"10",235.902,8.80235,2.25686
"10",239.717,8.80715,2.20669
"10",243.595,8.81111,2.15765
"10",247.535,8.81436,2.10972
"10",251.538,8.81697,2.06282
"10",255.607,8.81896,2.01694
"10",259.741,8.82046,1.97218
"10",263.942,8.82164,1.92836
"10",268.211,8.82249,1.88543
"10",272.549,8.82346,1.84358
"10",276.957,8.82493,1.80142
"10",281.437,8.82552,1.75865
"10",285.989,8.82447,1.7161
"10",290.615,8.82217,1.67444
"10",295.315,8.81886,1.63373
"10",300.092,8.81476,1.59405
"10",304.945,8.81001,1.55535
"10",309.878,8.80468,1.51761
"10",314.89,8.7988,1.48071
"10",319.983,8.79238,1.44471
"10",325.158,8.78549,1.40962
"10",330.418,8.77817,1.37537
"10",335.762,8.77043,1.34195
"10",341.192,8.76232,1.30936
"10",346.711,8.75385,1.27755
"10",352.319,8.74505,1.24651
"10",358.017,8.73594,1.21623
"10",363.808,8.72656,1.18669
"10",369.692,8.71694,1.15786
"10",375.672,8.70715,1.12973
"10",381.748,8.69761,1.10229
"10",387.922,8.68824,1.07477
"10",394.197,8.67788,1.04635
"10",400.573,8.66621,1.01886
"10",407.052,8.6539,0.992161
"10",413.635,8.641,0.966161
"10",420.326,8.62755,0.940839
"10",427.124,8.61357,0.916181
"10",434.032,8.59908,0.892172
"10",441.052,8.5841,0.868792
"10",448.186,8.56866,0.846004
"10",455.435,8.5527,0.823712
"10",462.802,8.53615,0.801953
"10",470.287,8.51899,0.780739
"10",477.894,8.50122,0.760082
"10",485.623,8.48282,0.739973
"10",493.478,8.46377,0.720396
"10",501.459,8.44404,0.701336
"10",509.57,8.42359,0.682789
"10",517.812,8.40239,0.66474
"10",526.187,8.38037,0.647177
"10",534.698,8.3575,0.630129
"10",543.346,8.33378,0.61355
"10",552.134,8.30914,0.597392
"10",561.065,8.28343,0.581446
"10",570.139,8.25634,0.565869
"10",579.361,8.22785,0.550989
"10",588.732,8.1981,0.53659
"10",598.254,8.16694,0.522623
"10",607.93,8.13419,0.509022
"10",617.763,8.09971,0.495782
"10",627.755,8.06333,0.482858
"10",637.908,8.0249,0.469866
"10",648.226,7.98369,0.456687
"10",658.711,7.93886,0.443532
"10",669.365,7.88993,0.430757
"10",680.191,7.83651,0.419564
"10",691.193,7.77932,0.409597
"10",702.372,7.71813,0.400185
"10",713.733,7.65152,0.390453
"10",725.277,7.57766,0.380595
"10",737.008,7.49521,0.370963
"10",748.928,7.40231,0.361591
"10",761.042,7.29647,0.35246
"10",773.351,7.17415,0.343481
"10",785.859,7.03,0.33449
"10",798.57,6.85573,0.325538
"10",811.486,6.6382,0.316826
"10",824.611,6.35358,0.308346
"10",837.949,5.95155,0.300094
"10",851.502,5.29351,0.292063
"10",865.274,3.59708,0.284248
"10",870.1,-1.59786,0.281588
"10",870.3,-1.59368,4.51161
"10",879.269,4.56045,4.44449
"10",893.491,5.91462,4.34146
"10",907.943,6.62676,4.24078
"10",922.628,7.11804,4.1424
"10",937.551,7.49445,4.04632
"10",952.715,7.7996,3.95247
"10",968.124,8.05596,3.86078
"10",983.783,8.27687,3.77122
"10",999.695,8.47121,3.6831
"10",1015.86,8.64476,3.59637
"10",1032.29,8.79982,3.50583
"10",1048.99,8.93632,3.41781
"10",1065.96,9.0589,3.33231
"10",1083.2,9.16978,3.24896
"10",1100.72,9.27054,3.16769
"10",1118.52,9.36245,3.08843
"10",1136.61,9.44655,3.01119
"10",1155,9.52375,2.93587
"10",1173.68,9.59478,2.86243
"10",1192.66,9.66028,2.79083
"10",1211.95,9.72084,2.72102
"10",1231.55,9.77699,2.65295
"10",1251.47,9.82924,2.58624
"10",1271.72,9.87761,2.52088
"10",1292.29,9.92223,2.45679
"10",1313.19,9.96338,2.39428
"10",1334.43,10.0014,2.33337
"10",1356.01,10.0366,2.27403
"10",1377.94,10.0693,2.21618
"10",1400.23,10.0997,2.1598
"10",1422.88,10.1279,2.10484
"10",1445.89,10.1543,2.05128
"10",1469.28,10.179,1.9989
"10",1493.04,10.2023,1.94758
"10",1517.19,10.224,1.89639
"10",1541.73,10.2432,1.84637
"10",1566.67,10.2607,1.79766
"10",1592.01,10.2767,1.75022
"10",1617.76,10.2912,1.70405
"10",1643.92,10.3045,1.65912
"10",1670.51,10.3167,1.61535
"10",1697.53,10.3278,1.57273
"10",1724.99,10.3383,1.53124
"10",1752.89,10.348,1.49017
"10",1781.24,10.3563,1.44996
"10",1810.05,10.3636,1.4106
"10",1839.32,10.3699,1.37235
"10",1869.07,10.3753,1.33513
"10",1899.3,10.38,1.29892
"10",1930.02,10.384,1.26371
"10",1961.24,10.3874,1.22944
"10",1992.96,10.3901,1.19608
"10",2025.2,10.3926,1.1641
"10",2057.95,10.395,1.13218
"10",2091.24,10.3964,1.10097
"10",2125.06,10.3973,1.07062
"10",2159.43,10.3978,1.0411
"10",2194.36,10.3979,1.01223
"10",2229.85,10.3976,0.984136
"10",2265.92,10.3969,0.95677
"10",2302.57,10.3958,0.930103
"10",2339.81,10.3944,0.904127
"10",2377.66,10.3927,0.878825
"10",2416.11,10.3907,0.854188
"10",2455.19,10.3885,0.830187
"10",2494.9,10.386,0.806817
"10",2535.26,10.3833,0.784061
"10",2576.26,10.3804,0.761901
"10",2617.93,10.3774,0.740321
"10",2660.27,10.3741,0.71932
"10",2703.3,10.3707,0.69887
"10",2747.03,10.3671,0.678965
"10",2791.46,10.3634,0.659589
"10",2836.61,10.3596,0.640726
"10",2882.49,10.3557,0.622378
"10",2929.11,10.3516,0.604504
"10",2976.48,10.3475,0.587115
"10",3024.63,10.3433,0.570193
