atomic_number,charge,econf,coordination,spin,crystal_radius,ionic_radius,origin,most_reliable
"89","3",6p6,VI,,126,112,"from r^3 vs V plots, ","0"
"47","1","4d10",II,,81,67,,"0"
"47","1","4d10",IV,,114,100,"calculated, ","0"
"47","1","4d10",IVSQ,,116,102,,"0"
"47","1","4d10",V,,123,109,"calculated, ","0"
"47","1","4d10",VI,,129,115,"calculated, ","0"
"47","1","4d10",VII,,136,122,,"0"
"47","1","4d10",VIII,,142,128,,"0"
"47","2","4d9",IVSQ,,93,79,,"0"
"47","2","4d9",VI,,108,94,,"0"
"47","3","4d8",IVSQ,,81,67,,"0"
"47","3","4d8",VI,,89,75,"from r^3 vs V plots, ","0"
"13","3",2p6,IV,,53,39,,"1"
"13","3",2p6,V,,62,48,,"0"
"13","3",2p6,VI,,67.5,53.5,"from r^3 vs V plots, ","1"
"95","2",5f7,VII,,135,121,,"0"
"95","2",5f7,VIII,,140,126,,"0"
"95","2",5f7,IX,,145,131,,"0"
"95","3",5f6,VI,,111.5,97.5,"from r^3 vs V plots, ","0"
"95","3",5f6,VIII,,123,109,,"0"
"95","4",5f5,VI,,99,85,"from r^3 vs V plots, ","0"
"95","4",5f5,VIII,,109,95,,"0"
"33","3",4s2,VI,,72,58,"Ahrens (1952) ionic radius, ","0"
"33","5","3d10",IV,,47.5,33.5,"from r^3 vs V plots, ","1"
"33","5","3d10",VI,,60,46,"calculated, ","1"
"85","7","5d10",VI,,76,62,"Ahrens (1952) ionic radius, ","0"
"79","1","5d10",VI,,151,137,"Ahrens (1952) ionic radius, ","0"
"79","3","5d8",IVSQ,,82,68,,"0"
"79","3","5d8",VI,,99,85,"Ahrens (1952) ionic radius, ","0"
"79","5","5d6",VI,,71,57,,"0"
"5","3",1s2,III,,15,1,,"1"
"5","3",1s2,IV,,25,11,,"1"
"5","3",1s2,VI,,41,27,"calculated, ","0"
"56","2",5p6,VI,,149,135,,"0"
"56","2",5p6,VII,,152,138,"calculated, ","0"
"56","2",5p6,VIII,,156,142,,"0"
"56","2",5p6,IX,,161,147,,"0"
"56","2",5p6,X,,166,152,,"0"
"56","2",5p6,XI,,171,157,,"0"
"56","2",5p6,XII,,175,161,"calculated, ","0"
"4","2",1s2,III,,30,16,,"0"
"4","2",1s2,IV,,41,27,,"1"
"4","2",1s2,VI,,59,45,"calculated, ","0"
"83","3",6s2,V,,110,96,"calculated, ","0"
"83","3",6s2,VI,,117,103,"from r^3 vs V plots, ","1"
"83","3",6s2,VIII,,131,117,"from r^3 vs V plots, ","0"
"83","5","5d10",VI,,90,76,"estimated, ","0"
"97","3",5f8,VI,,110,96,"from r^3 vs V plots, ","0"
"97","4",5f7,VI,,97,83,"from r^3 vs V plots, ","0"
"97","4",5f7,VIII,,107,93,"from r^3 vs V plots, ","0"
"35","-1",4p6,VI,,182,196,"Pauling's (1960) crystal radius, ","0"
"35","3",4p2,IVSQ,,73,59,,"0"
"35","5",4s2,IIIPY,,45,31,,"0"
"35","7","3d10",IV,,39,25,,"0"
"35","7","3d10",VI,,53,39,"Ahrens (1952) ionic radius, ","0"
"6","4",1s2,III,,6,-8,,"0"
"6","4",1s2,IV,,29,15,"Pauling's (1960) crystal radius, ","0"
"6","4",1s2,VI,,30,16,"Ahrens (1952) ionic radius, ","0"
"20","2",3p6,VI,,114,100,,"0"
"20","2",3p6,VII,,120,106,,"1"
"20","2",3p6,VIII,,126,112,,"1"
"20","2",3p6,IX,,132,118,,"0"
"20","2",3p6,X,,137,123,"calculated, ","0"
"20","2",3p6,XII,,148,134,"calculated, ","0"
"48","2","4d10",IV,,92,78,,"0"
"48","2","4d10",V,,101,87,,"0"
"48","2","4d10",VI,,109,95,,"0"
"48","2","4d10",VII,,117,103,"calculated, ","0"
"48","2","4d10",VIII,,124,110,"calculated, ","0"
"48","2","4d10",XII,,145,131,,"0"
"58","3",6s1,VI,,115,101,"from r^3 vs V plots, ","0"
"58","3",6s1,VII,,121,107,"estimated, ","0"
"58","3",6s1,VIII,,128.3,114.3,"from r^3 vs V plots, ","0"
"58","3",6s1,IX,,133.6,119.6,"from r^3 vs V plots, ","0"
"58","3",6s1,X,,139,125,,"0"
"58","3",6s1,XII,,148,134,"calculated, ","0"
"58","4",5p6,VI,,101,87,"from r^3 vs V plots, ","0"
"58","4",5p6,VIII,,111,97,"from r^3 vs V plots, ","0"
"58","4",5p6,X,,121,97,"from r^3 vs V plots, ","0"
"58","4",5p6,XII,,128,114,,"0"
"98","3","6d1",VI,,109,95,"from r^3 vs V plots, ","0"
"98","4",5f8,VI,,96.1,82.1,"from r^3 vs V plots, ","0"
"98","4",5f8,VIII,,106,92,,"0"
"17","-1",3p6,VI,,167,181,"Pauling's (1960) crystal radius, ","0"
"17","5",3s2,IIIPY,,26,12,,"0"
"17","7",2p6,IV,,22,8,,"1"
"17","7",2p6,VI,,41,27,"Ahrens (1952) ionic radius, ","0"
"96","3",5f7,VI,,111,97,"from r^3 vs V plots, ","0"
"96","4",5f6,VI,,99,85,"from r^3 vs V plots, ","0"
"96","4",5f6,VIII,,109,95,"from r^3 vs V plots, ","0"
"27","2","3d7",IV,HS,72,58,,"0"
"27","2","3d7",V,,81,67,"calculated, ","0"
"27","2","3d7",VI,LS,79,65,"from r^3 vs V plots, ","0"
"27","2","3d7",VI,HS,88.5,74.5,"from r^3 vs V plots, ","1"
"27","2","3d7",VIII,,104,90,,"0"
