isotope_id,mode,relation,intensity,is_allowed_not_observed,is_observed_intensity_unknown
"3",B-,=,100,,
"5",p, ,,"1",
"6",n,=,100,,
"8",p,=,100,,
"9",2n,=,100,,
"10",n,=,100,,
"11",p,=,100,,
"12",p, ,,"1",
"13",n, ,,"1",
"13",3n, ,,"1",
"14",B-,=,100,,
"14",B-d,=,0.000278,,
"16",2p,=,100,,
"17",2p, ,,"1",
"18",2n, ,,"1",
"19",n,=,100,,
"21",EC,=,100,,
"22",p,=,100,,
"23",B-,=,100,,
"23",B-n,=,16,,
"23",B-t,=,0.9,,
"24",B-,=,100,,
"24",B-A,=,100,,
"25",A,=,100,,
"26",B+,=,100,,
"26",B+A,=,100,,
"27",2p,=,100,,
"28",n,=,100,,
"29",B-,=,100,,
"29",B-n,=,50.5,,
"31",p,=,100,,
"32",B+,=,100,,
"32",B+p,=,7.5,,
"32",B+A,=,38.4,,
"33",2n,=,100,,
"34",n,=,100,,
"35",B-,=,100,,
"37",B+,=,100,,
"38",p, ,,"1",
"39",B-,=,100,,
"39",B-n,=,86.3,,
"39",2n,=,4.1,,
"39",3n,=,1.9,,
"39",B-A,=,1.7,,
"39",B-d,=,0.013,,
"39",B-t,=,0.0093,,
"40",B-,=,100,,
"40",B-A,=,3.3,,
"40",B-p,=,0.0013,,
"40",B-n, ,,"1",
"42",B+,=,100,,
"43",p,=,100,,
"44",2p,=,100,,
"45",n, ,,"1",
"46",B-,=,100,,
"46",B-n,=,0.5,,
"47",B-,=,100,,
"47",B-A,=,0.6,,
"49",B+,=,100,,
"49",B+A,=,1.93,,
"50",2p,=,100,,
"51",2n,=,100,,
"52",n, ,,"1",
"53",B-,=,100,,
"53",B-n,=,0.266,,
"55",B+,=,100,,
"56",B+,=,100,,
"56",B+p,=,10.9,,
"57",p, ,,"1",
"58",B-,=,100,,
"58",B-n,=,86,,
"58",2n,=,5,,
"58",B-t,=,0.02,,
"58",B-A,<,0.004,,
"59",B-,=,100,,
"59",B-n,=,6.04,,
"59",2n, ,,"1",
"60",B-,=,100,,
"62",B+,=,100,,
"63",p, ,,"1",
"64",n,=,100,,
"65",B-,=,100,,
"65",B-n,=,98.7,,
"65",2n,<,1.5,,
