atomic_number,oxidation_state,category
"1","1",main
"1","-1",main
"3","1",main
"4","0",extended
"4","2",main
"4","1",extended
"5","-5",extended
"5","2",extended
"5","3",main
"5","0",extended
"5","-1",extended
"5","1",extended
"6","-1",extended
"6","-2",extended
"6","0",extended
"6","1",extended
"6","4",main
"6","-4",main
"6","2",extended
"6","3",extended
"6","-3",extended
"7","-3",main
"7","2",extended
"7","-1",extended
"7","5",main
"7","-2",extended
"7","3",main
"7","0",extended
"7","1",extended
"7","4",extended
"8","-2",main
"8","1",extended
"8","-1",extended
"8","2",extended
"8","0",extended
"9","-1",main
"11","1",main
"11","-1",extended
"11","0",extended
"12","2",main
"12","1",extended
"12","0",extended
"13","1",extended
"13","-1",extended
"13","0",extended
"13","2",extended
"13","3",main
"13","-2",extended
"14","-1",extended
"14","1",extended
"14","3",extended
"14","4",main
"14","0",extended
"14","2",extended
"14","-4",main
"14","-3",extended
"14","-2",extended
"15","1",extended
"15","-1",extended
"15","4",extended
"15","5",main
"15","2",extended
"15","-2",extended
"15","0",extended
"15","-3",main
"15","3",main
"16","2",main
"16","0",extended
"16","1",extended
"16","3",extended
"16","5",extended
"16","4",main
"16","6",main
"16","-1",extended
"16","-2",main
"17","5",main
"17","4",extended
"17","-1",main
"17","7",main
"17","3",main
"17","6",extended
"17","1",main
"17","2",extended
"19","1",main
"19","-1",extended
"20","1",extended
"20","2",main
"21","3",main
"21","1",extended
"21","2",extended
"21","0",extended
"22","-1",extended
"22","2",extended
"22","-2",extended
"22","3",extended
"22","0",extended
"22","1",extended
"22","4",main
"23","5",main
"23","0",extended
"23","4",extended
"23","3",extended
"23","-3",extended
"23","-1",extended
"23","1",extended
"23","2",extended
"24","0",extended
"24","6",main
"24","-2",extended
"24","-4",extended
"24","4",extended
"24","1",extended
"24","5",extended
"24","-1",extended
"24","3",main
"24","2",extended
"25","6",extended
"25","4",main
"25","-3",extended
"25","0",extended
"25","5",extended
"25","2",main
"25","1",extended
"25","3",extended
"25","7",main
"25","-1",extended
"26","0",extended
"26","1",extended
"26","3",main
"26","7",extended
"26","4",extended
"26","-4",extended
"26","5",extended
"26","-2",extended
"26","-1",extended
"26","6",extended
"26","2",main
"27","4",extended
"27","5",extended
"27","1",extended
"27","-3",extended
"27","3",main
"27","0",extended
"27","2",main
"27","-1",extended
"28","1",extended
"28","3",extended
"28","0",extended
"28","4",extended
"28","-2",extended
"28","-1",extended
"28","2",main
"29","4",extended
"29","3",extended
"29","-2",extended
"29","1",extended
"29","0",extended
"29","2",main
"30","-2",extended
"30","1",extended
"30","2",main
"30","0",extended
"31","-4",extended
"31","-5",extended
"31","2",extended
"31","-1",extended
"31","-3",extended
"31","-2",extended
"31","1",extended
"31","0",extended
"31","3",main
"32","-2",extended
"32","-3",extended
"32","-4",main
"32","-1",extended
"32","2",main
"32","0",extended
"32","4",main
"32","1",extended
"32","3",extended
"33","2",extended
"33","5",main
"33","0",extended
"33","3",main
"33","-2",extended
"33","-1",extended
"33","4",extended
"33","1",extended
"33","-3",main
"34","2",main
"34","1",extended
"34","-2",main
"34","3",extended
"34","6",main
"34","4",main
"34","-1",extended
"34","5",extended
"34","0",extended
"35","2",extended
"35","3",main
"35","1",main
"35","-1",main
"35","7",extended
"35","5",main
"35","4",extended
"36","1",extended
"36","2",main
"37","1",main
"37","-1",extended
"38","2",main
"38","1",extended
"39","2",extended
"39","1",extended
"39","3",main
"39","0",extended
"40","4",main
"40","2",extended
"40","3",extended
"40","1",extended
"41","-1",extended
"41","4",extended
"41","2",extended
"41","3",extended
"41","1",extended
"41","0",extended
"41","5",main
"41","-3",extended
"42","-1",extended
"42","3",extended
"42","-2",extended
"42","5",extended
"42","0",extended
"42","4",main
"42","2",extended
"42","6",main
"42","1",extended
"42","-4",extended
"43","5",extended
"43","4",main
"43","-1",extended
"43","7",main
"43","3",extended
"43","6",extended
"43","-3",extended
"43","2",extended
"43","1",extended
"44","2",extended
"44","8",extended
"44","-2",extended
"44","5",extended
"44","3",main
"44","1",extended
"44","6",extended
"44","4",main
"44","7",extended
"44","-4",extended
"45","-1",extended
"45","2",extended
"45","6",extended
"45","-3",extended
"45","4",extended
"45","3",main
"45","1",extended
"45","5",extended
"45","7",extended
"46","2",main
"46","1",extended
"46","3",extended
"46","4",main
"46","5",extended
"47","3",extended
"47","2",extended
"47","0",extended
"47","-1",extended
"47","-2",extended
"47","1",main
"48","-2",extended
"48","2",main
"48","1",extended
"49","2",extended
"49","0",extended
"49","-5",extended
"49","-2",extended
"49","1",extended
"49","-1",extended
"49","3",main
"50","-4",main
"50","2",main
"50","-2",extended
"50","-1",extended
"50","0",extended
"50","3",extended
"50","-3",extended
"50","4",main
"50","1",extended
"51","1",extended
"51","-1",extended
"51","-2",extended
"51","5",main
"51","3",main
"51","2",extended
"51","4",extended
"51","0",extended
"51","-3",main
"52","2",main
"52","-2",main
"52","1",extended
"52","6",main
"52","3",extended
"52","0",extended
"52","5",extended
"52","-1",extended
"52","4",main
"53","1",main
"53","7",main
"53","3",main
"53","4",extended
"53","6",extended
"53","5",main
"53","-1",main
"53","2",extended
"54","4",main
"54","8",extended
"54","6",main
"54","2",main
"55","-1",extended
"55","1",main
"56","1",extended
"56","2",main
"57","1",extended
"57","3",main
"57","0",extended
"57","2",extended
"58","4",main
"58","2",extended
"58","3",main
"58","1",extended
"59","3",main
"59","4",extended
"59","0",extended
"59","1",extended
"59","5",extended
"59","2",extended
"60","3",main
"60","2",extended
"60","4",extended
"60","0",extended
"61","2",extended
"61","3",main
"62","2",extended
"62","1",extended
"62","0",extended
"62","3",main
"63","3",main
"63","0",extended
"63","2",main
"64","1",extended
"64","0",extended
"64","2",extended
"64","3",main
"65","0",extended
"65","3",main
"65","1",extended
"65","4",extended
"65","2",extended
"66","2",extended
"66","1",extended
"66","3",main
"66","4",extended
"66","0",extended
"67","0",extended
"67","3",main
"67","1",extended
"67","2",extended
"68","0",extended
"68","1",extended
"68","2",extended
"68","3",main
"69","1",extended
"69","0",extended
"69","3",main
"69","2",extended
"70","1",extended
"70","0",extended
"70","2",extended
"70","3",main
"71","2",extended
"71","3",main
"71","0",extended
"71","1",extended
"72","2",extended
"72","-2",extended
"72","0",extended
"72","1",extended
"72","4",main
"72","3",extended
"73","5",main
"73","-1",extended
"73","1",extended
"73","3",extended
"73","4",extended
"73","2",extended
"73","0",extended
"73","-3",extended
"74","2",extended
"74","4",main
"74","-4",extended
"74","5",extended
"74","0",extended
"74","6",main
"74","3",extended
"74","-1",extended
"74","-2",extended
"74","1",extended
"75","5",extended
"75","7",extended
"75","-1",extended
"75","6",extended
"75","-3",extended
"75","2",extended
"75","1",extended
"75","0",extended
"75","3",extended
"75","4",main
"76","5",extended
"76","2",extended
"76","6",extended
"76","1",extended
"76","-1",extended
"76","0",extended
"76","7",extended
"76","-2",extended
"76","3",extended
"76","8",extended
"76","4",main
"76","-4",extended
"77","5",extended
"77","-2",extended
"77","-1",extended
"77","7",extended
"77","6",extended
"77","4",main
"77","-3",extended
"77","9",extended
"77","3",main
"77","8",extended
"77","2",extended
"77","1",extended
"78","-3",extended
"78","6",extended
"78","1",extended
"78","-2",extended
"78","-1",extended
"78","3",extended
"78","5",extended
"78","2",main
"78","4",main
"78","0",extended
"79","2",extended
"79","-1",extended
"79","0",extended
"79","-2",extended
"79","1",extended
"79","-3",extended
"79","3",main
"79","5",extended
"80","1",main
"80","2",main
"80","-2",extended
"81","-5",extended
"81","-2",extended
"81","1",main
"81","-1",extended
"81","2",extended
"81","3",main
"82","4",main
"82","2",main
"82","0",extended
"82","-2",extended
"82","1",extended
"82","-1",extended
"82","-4",extended
"82","3",extended
"83","5",extended
"83","2",extended
"83","-1",extended
"83","-2",extended
"83","-3",extended
"83","0",extended
"83","1",extended
"83","3",main
"83","4",extended
"84","2",main
"84","4",main
"84","5",extended
"84","-2",main
"84","6",extended
"85","1",main
"85","3",extended
"85","-1",main
"85","5",extended
"85","7",extended
"86","6",extended
"86","2",extended
"87","1",main
"88","2",main
"89","3",main
"90","-1",extended
"90","1",extended
"90","2",extended
"90","3",extended
"90","4",main
"91","3",extended
"91","2",extended
"91","4",extended
"91","5",main
"92","3",extended
"92","1",extended
"92","6",main
"92","2",extended
"92","-1",extended
"92","4",extended
"92","5",extended
"93","7",extended
"93","2",extended
"93","5",main
"93","4",extended
"93","3",extended
"93","6",extended
"94","5",extended
"94","7",extended
"94","8",extended
"94","6",extended
"94","4",main
"94","3",extended
"94","2",extended
"95","2",extended
"95","6",extended
"95","3",main
"95","5",extended
"95","4",extended
"95","7",extended
"96","6",extended
"96","3",main
"96","5",extended
"96","4",extended
"97","3",main
"97","4",extended
"97","5",extended
"97","2",extended
"98","3",main
"98","4",extended
"98","2",extended
"98","5",extended
"99","3",main
"99","4",extended
"99","2",extended
"100","2",extended
"100","3",main
"101","3",main
"101","2",extended
"102","2",extended
"102","3",main
"103","3",main
"104","3",extended
"104","4",main
"105","3",extended
"105","5",extended
"105","4",extended
"106","3",extended
"106","6",extended
"106","5",extended
"106","4",extended
"107","4",extended
"107","5",extended
"107","3",extended
"107","7",extended
"108","3",extended
"108","6",extended
"108","8",extended
"108","4",extended
"109","1",extended
"109","6",extended
"109","3",extended
"110","2",extended
"110","4",extended
"110","6",extended
"111","3",extended
"111","5",extended
"111","-1",extended
"112","2",extended
"112","4",extended
"116","4",extended
"116","-2",extended
"117","-1",extended
"117","5",extended
"118","4",extended
"118","6",extended
"118","-1",extended
"118","1",extended
"118","2",extended
