atomic_number,boiling_point,melting_point,critical_temperature,critical_pressure,triple_point_temperature,triple_point_pressure,allotrope,is_sublimation_point,is_transition
"89",3473.15,1323.15,,,,,,,
"13",2792.15,933.473,6700.15,,,,,,
"95",,1449.15,,,,,,,
"51",1860.15,903.778,,,,,gray,,
"18",87.302,83.81,150.687,4.863,83.8058,68.89,,,
"33",889.15,1090.15,1673.15,22.3,1090.15,3700,gray,"1",
"85",,575.15,,,,,,,
"56",2118.15,1000.15,,,,,,,
"97",,1259.15,,,,,β form,,
"4",2741.15,1560.15,5205.15,,,,,,
"83",1837.15,544.552,4620.15,,,,,,
"5",4273.15,2350.15,,,,,,,
"35",331.95,265.95,588.15,10.34,265.9,5.879,,,
"48",1040.15,594.219,,,,,,,
"20",1757.15,1115.15,,,,,,,
"98",,1173.15,,,,,,,
"6",4098.15,,,,4762.15,10300,graphite,"1",
"58",3716.15,1072.15,,,,,,,
"55",944.15,301.65,1938.15,9.4,,,,,
"17",239.11,171.65,417.05,7.991,,,,,
"24",2944.15,2180.15,,,,,,,
"27",3200.15,1768.15,,,,,,,
"29",2833.15,1357.77,,,,,,,
"96",,1618.15,,,,,,,
"66",2840.15,1685.15,,,,,,,
"99",,1133.15,,,,,,,
"68",3141.15,1802.15,,,,,,,
"63",1802.15,1095.15,,,,,,,
"100",,1800.15,,,,,,,
"9",85.04,53.48,144.41,5.1724,53.48,90,,,
"87",,294.15,,,,,,,
"64",3546.15,1586.15,,,,,,,
"31",2502.15,302.9146,,,302.9166,,,,
"32",3106.15,1211.4,9802.15,,,,,,
"79",3109.15,1337.33,,,,,,,
"72",4873.15,2506.15,,,,,,,
"2",4.22199999999998,,5.19499999999999,0.22746,2.17699999999996,5.043,,,
"67",2973.15,1745.15,,,,,,,
"1",20.271,13.99,32.938,1.2858,13.8033,7.041,,,
"49",2300.15,429.7485,,,429.7436,,,,
"53",457.55,386.85,819.15,,386.75,12.11,,,
"77",4701.15,2719.15,,,,,,,
"26",3134.15,1811.15,9340.15,,,,,,
"36",119.735,115.78,209.48,5.525,115.775,73.53,,,
"57",3737.15,1193.15,,,,,,,
"103",,1900.15,,,,,,,
"82",2022.15,600.612,,,,,,,
"3",1615.15,453.65,3223.15,67,,,,,
"71",3675.15,1936.15,,,,,,,
"12",1363.15,923.15,,,,,,,
"25",2334.15,1519.15,4325.15,,,,,,
"101",,1100.15,,,,,,,
"80",629.769,234.321,1764.15,167,234.3156,,,,
"42",4912.15,2895.15,,,,,,,
"60",3347.15,1289.15,,,,,,,
"10",27.104,24.56,44.492,2.6786,24.5561,43.37,,,
"93",,917.15,,,,,,,
"28",3186.15,1728.15,,,,,,,
"41",5014.15,2750.15,,,,,,,
"7",77.355,63.15,126.192,3.3958,63.151,12.52,,,
"102",,1100.15,,,,,,,
"76",5281.15,3306.15,,,,,,,
"8",90.188,54.36,154.581,5.043,54.3584,0.1463,,,
"46",3236.15,1827.95,,,,,,,
"15",553.65,317.3,994.15,,,,white,,
"15",704.15,852.35,994.15,,,,red,"1",
"78",4098.15,2041.35,,,,,,,
"94",3501.15,913.15,,,,,,,
"84",1235.15,527.15,,,,,,,
"19",1032.15,336.65,2223.15,16,,,,,
"59",3793.15,1204.15,,,,,,,
"61",,1315.15,,,,,,,
"91",,1845.15,,,,,,,
"88",,969.15,,,,,,,
"86",211.45,202.15,377.15,6.28,,,,,
"75",5863.15,3458.15,,,,,,,
"45",3968.15,2236.15,,,,,,,
"37",961.15,312.45,2093.15,16,312.41,,,,
"44",4420.15,2606.15,,,,,,,
"62",2067.15,1345.15,,,,,,,
"21",3109.15,1814.15,,,,,,,
"34",958.15,453.15,1766.15,,,,vitreous,,"1"
"34",958.15,493.95,1766.15,27.2,,,gray,,
"14",3538.15,1687.15,,,,,,,
"47",2435.15,1234.93,6410.15,,,,,,
"11",1156.09,370.944,2573.15,35,,,,,
"38",1650.15,1050.15,,,,,,,
"16",717.76,368.35,1314.15,20.7,,,rhombic,,"1"
"16",717.76,388.36,1314.15,,,,monoclinic,,
"73",5728.15,3290.15,,,,,,,
"43",4535.15,2430.15,,,,,,,
"52",1261.15,722.66,2329.15,,,,,,
"65",3503.15,1632.15,,,,,,,
"81",1746.15,577.15,,,,,,,
"90",5058.15,2023.15,,,,,,,
"69",2223.15,1818.15,,,,,,,
"50",2859.15,286.35,,,,,gray,,"1"
"50",2859.15,505.078,,,,,white,,
"22",3560.15,1943.15,,,,,,,
"74",5828.15,3687.15,,,,,,,
"92",4404.15,1408.15,,,,,,,
"23",3680.15,2183.15,,,,,,,
"54",165.051,161.4,289.733,5.842,161.405,81.77,,,
"70",1469.15,1097.15,,,,,,,
"39",3618.15,1795.15,,,,,,,
"30",1180.15,692.677,,,,,,,
"40",4679.15,2127.15,,,,,,,
